chinese,english,status,source
主观臆断,subjective and groundless conclusion,VERIFIED,PETCI
久别重逢,meet again after a long separation,VERIFIED,PETCI
久病成医,chronic disease makes a doctor of a patient,VERIFIED,PETCI
久旱逢甘雨,have a long-felt need satisfied,VERIFIED,PETCI
久假不归,put off indefinitely returning something one has borrowed,VERIFIED,PETCI
久而久之,as time passes,VERIFIED,PETCI
之乎者也,pedantic terms,VERIFIED,PETCI
乘风破浪,brave the wind and the waves,VERIFIED,PETCI
乘兴而来，败兴而归,set out cheerfully and return disappointed,VERIFIED,PETCI
乘虚而入,act when somebody is off guard,VERIFIED,PETCI
乘人之危,take advantage of other's calamity,VERIFIED,PETCI
九牛二虎之力,a tremendous amount of labor,VERIFIED,PETCI
九牛一毛,a drop in the bucket,VERIFIED,PETCI
九霄云外,the winds,VERIFIED,PETCI
九死一生,a marrow escape from death,VERIFIED,PETCI
乞哀告怜,piteously beg for help,VERIFIED,PETCI
乳臭未干,be wet behind the ears,VERIFIED,PETCI
干净利落,neat and tidy,VERIFIED,PETCI
乱七八糟,in great disorder,VERIFIED,PETCI
了如指掌,read something like a book,VERIFIED,PETCI
事倍功半,do twice the work with half of results,VERIFIED,PETCI
事半功倍,get twice the result with half the effort,VERIFIED,PETCI
事必躬亲,take care of every single thing personally,VERIFIED,PETCI
事不关己，高高挂起,let things drift if they do not affect one personally,VERIFIED,PETCI
事不宜迟,we must attend to the matter immediately,VERIFIED,PETCI
事非经过不知难,you never know how hard a task is until you have done it yourself,VERIFIED,PETCI
事过境迁,the incident is over and the circumstances are different,VERIFIED,PETCI
事后诸葛亮,claim wisdom after the event,VERIFIED,PETCI
事出有因,it is by no means accident al,VERIFIED,PETCI
事实胜于雄辩,facts speak louder than words,VERIFIED,PETCI
事在人为,man is the determining factor in doing things,VERIFIED,PETCI
事与愿违,events do not happen as one wishes,VERIFIED,PETCI
五方杂处,peoples from all regions congregate,VERIFIED,PETCI
五体投地,kneel at the feet of,VERIFIED,PETCI
五谷丰登,an abundant harvest of all grains,VERIFIED,PETCI
五光十色,a great variety of colors,VERIFIED,PETCI
五湖四海,the five lakes and four seas,VERIFIED,PETCI
五花八门,all hinds of,VERIFIED,PETCI
五十步笑百步,the pot calling the kettle black,VERIFIED,PETCI
五日京兆,an official who doesn't expect to remain long in office,VERIFIED,PETCI
五彩缤纷,all the color of the rainbow,VERIFIED,PETCI
五颜六色,multicolored,VERIFIED,PETCI
井底之蛙,a man of very limited experience,VERIFIED,PETCI
井井有条,well-arranged,VERIFIED,PETCI
井水不犯河水,"I'll mind my own business, you mind yours",VERIFIED,PETCI
亘古未有,break all previous records,VERIFIED,PETCI
亡命之徒,fugitive,VERIFIED,PETCI
亡羊补牢,mend the fold after a sheep is lost,VERIFIED,PETCI
亡羊补牢，犹未为晚,it is not too late to mend the fold even after some of the sheep have been lost,VERIFIED,PETCI
亡羊得牛,the gain is greater than the loss,VERIFIED,PETCI
交头接耳,talk confidentially,VERIFIED,PETCI
交口称赞,praised by one and all,VERIFIED,PETCI
亦步亦趋,follow in one's steps,VERIFIED,PETCI
亭亭玉立,slim and graceful,VERIFIED,PETCI
人不可貌相,don't judge anyone just by appearances,VERIFIED,PETCI
人不知，鬼不觉,do in complete secrecy,VERIFIED,PETCI
人不为己，天诛地灭,everyone for himself and let the devil take the hindmost,VERIFIED,PETCI
人怕出名猪怕肥,fame portends trouble for men just as fattening does for pigs,VERIFIED,PETCI
人莫予毒,"""no one dare harm me""",VERIFIED,PETCI
人面兽心,a brute in man's shape,VERIFIED,PETCI
人命危浅,one's days are numbered,VERIFIED,PETCI
人浮于事,superfluous staff,VERIFIED,PETCI
人地生疏,be a complete stranger,VERIFIED,PETCI
人定胜天,"it is man's will, not heaven's, that decides",VERIFIED,PETCI
人多嘴杂,too many cooks spoil the soup,VERIFIED,PETCI
人同此心，心同此理,everybody feels the same about this,VERIFIED,PETCI
人困马乏,tired and exhausted,VERIFIED,PETCI
人欢马叫,"a busy, prosperous country scene",VERIFIED,PETCI
人杰地灵,a place propitious for giving birth to great men,VERIFIED,PETCI
人间地狱,a hell on earth,VERIFIED,PETCI
人尽其才,bring everyone's ability into full play,VERIFIED,PETCI
人弃我取,I will take whatever others don't want,VERIFIED,PETCI
人琴俱亡,mourn over the dead at sight of his things left,VERIFIED,PETCI
人情世故,worldly wisdom,VERIFIED,PETCI
人心向背,the will of the people,VERIFIED,PETCI
人心所向,the direction of popular sentiment,VERIFIED,PETCI
人之常情,the way of the world,VERIFIED,PETCI
人寿年丰,times of peace and prosperity,VERIFIED,PETCI
人山人海,huge crowds of people,VERIFIED,PETCI
人声鼎沸,a hubbub of voices,VERIFIED,PETCI
人才辈出,people of talent coming forth in large numbers,VERIFIED,PETCI
人才济济,a galaxy of talent,VERIFIED,PETCI
人而无信，不知其可,"if a man does not keep his word, what is he good for?",VERIFIED,PETCI
人一己百,"if others succeed by making one ounce of effort, I will make a hundred times as much effort",VERIFIED,PETCI
人言可畏,gossip is a fearful thing,VERIFIED,PETCI
人仰马翻,men and horses all overturned - an utter defeat,VERIFIED,PETCI
人无廉耻，百事可为,"if a man is dead to shame, he can do all sorts of evils",VERIFIED,PETCI
人无远虑，必有近忧,if a man is not far-sighted he is bound to encounter difficulties in the near future,VERIFIED,PETCI
人为刀俎，我为鱼肉,be meat on somebody's chopping block - be at somebody's mercy,VERIFIED,PETCI
人微言轻,the words of the lowly carry little weight,VERIFIED,PETCI
人云亦云,parrot,VERIFIED,PETCI
仁至义尽,show the utmost tolerance and patience,VERIFIED,PETCI
仁者见仁，智者见智,different people have different views,VERIFIED,PETCI
今非昔比,times have changed,VERIFIED,PETCI
今是昨非,wake up to one's past folly after realizing what is right today,VERIFIED,PETCI
他山攻错,advice from others may help one overcome one's shortcomings,VERIFIED,PETCI
仗势欺人,throw one's weight about,VERIFIED,PETCI
仗义执言,speak out from a sense of justice,VERIFIED,PETCI
仗义疏财,be generous in aiding needy people,VERIFIED,PETCI
付之东流,all one's efforts wasted,VERIFIED,PETCI
付之一炬,set something on fire,VERIFIED,PETCI
付之一笑,laugh it off,VERIFIED,PETCI
令行禁止,strict enforcement of orders and prohibitions,VERIFIED,PETCI
令人发指,make one's blood boil,VERIFIED,PETCI
令人神往,cause one to crave for,VERIFIED,PETCI
令人作呕,make one sick,VERIFIED,PETCI
以暴易暴,replace one tyranny by another,VERIFIED,PETCI
以貌取人,judge by outward looks,VERIFIED,PETCI
以德报怨,return good for evil,VERIFIED,PETCI
以毒攻毒,fight fire with fire,VERIFIED,PETCI
以退为进,mane concessions in order to gain advantages,VERIFIED,PETCI
以理服人,convince people by sound argument,VERIFIED,PETCI
以力服人,try to convince people by force,VERIFIED,PETCI
以蠡测海,have a shallow understanding of a person or subject,VERIFIED,PETCI
以邻为壑,shift one's troubles onto others,VERIFIED,PETCI
以卵击石,grossly overestimate one's own strength,VERIFIED,PETCI
以寡敌众,fight against heavy odds,VERIFIED,PETCI
以观后效,see how the offender behaves,VERIFIED,PETCI
以攻为守,attack in order to defend,VERIFIED,PETCI
以己度人,judge others by oneself,VERIFIED,PETCI
以儆效尤,as a warning to others,VERIFIED,PETCI
以小人之心，度君子之腹,measure the stature of great men by the yardstick of small men,VERIFIED,PETCI
以血还血,demand blood for blood,VERIFIED,PETCI
以手加额,place hand over one's forehead - in greeting,VERIFIED,PETCI
以售其奸,in order to achieve one's treacherous purpose,VERIFIED,PETCI
以身殉职,die a martyr at one's post,VERIFIED,PETCI
以身作则,set a good example to others,VERIFIED,PETCI
以子之矛，攻子之盾,turn somebody's battery against himself,VERIFIED,PETCI
以讹传讹,"pass on rumours, incorrect readings, etc.",VERIFIED,PETCI
以耳代目,rely upon hearsay instead of seeing for oneself,VERIFIED,PETCI
以一当十,pit one against ten,VERIFIED,PETCI
以一警百,punish one as a warning to others,VERIFIED,PETCI
以逸待劳,hold one's position awaiting enemy attack after a long march,VERIFIED,PETCI
以眼还眼，以牙还牙,blow for blow,VERIFIED,PETCI
以怨报德,repay good with evil,VERIFIED,PETCI
仰人鼻息,at somebody's beck and call,VERIFIED,PETCI
任凭风浪起，稳坐钓鱼船,hold one's ground despite pressure or opposition,VERIFIED,PETCI
任劳任怨,work hard without complaint,VERIFIED,PETCI
任其自流,let things run their course,VERIFIED,PETCI
任重道远,shoulder a heavy responsibility,VERIFIED,PETCI
任人摆布,be at the mercy of others,VERIFIED,PETCI
任人唯亲,cronyism,VERIFIED,PETCI
任人唯贤,appoint people on their merit,VERIFIED,PETCI
休戚相关,feeling of solidarity,VERIFIED,PETCI
休戚与共,stand together through thick and thin,VERIFIED,PETCI
休养生息,rehabilitate,VERIFIED,PETCI
伯仲之间,almost on a par,VERIFIED,PETCI
你追我赶,try to overtake each other in friendly emulation,VERIFIED,PETCI
你死我活,life-and-death,VERIFIED,PETCI
伶牙俐齿,have the gift of gab,VERIFIED,PETCI
似是而非,apparently right but actually wrong,VERIFIED,PETCI
低声下气,soft-spoken and submissive,VERIFIED,PETCI
低三下四,humble,VERIFIED,PETCI
何乐不为,why not go ahead with it,VERIFIED,PETCI
何其相似乃尔,what a striking likeness,VERIFIED,PETCI
何去何从,what course to follow,VERIFIED,PETCI
何足挂齿,not worth bothering about,VERIFIED,PETCI
作壁上观,sit by and watch,VERIFIED,PETCI
作法自毙,make a law only to fall foul of it oneself,VERIFIED,PETCI
作奸犯科,violate the law and commit crimes,VERIFIED,PETCI
作茧自缚,spin a cocoon around oneself,VERIFIED,PETCI
